镜号,场次,场名,时间码,时长秒,景别／机位,画面动作摘要,关键状态／变体,摄影来源等级,所需视觉资产ID,所需人物音色ID,同步声音约束ID,后期文字／图形资产ID,资产状态,专业控制
031,05,直播二开场：揽月脱离,00:04:09–00:04:14,5,月轨远景／视觉重建,揽月进入下降轨道，梦舟转入环月待机；地球仍是可分辨的蓝白色圆盘。,遥测视觉重建｜角标常驻,C｜显式遥测视觉重建,BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-004-环月轨道太阳光;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-010-地月视觉尺度连续性;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱;BY-VFX-P1-008-遥测视觉重建合成,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动,BY-SYM-P1-006-视觉重建来源标识,阶段1映射完成｜阶段2B按镜头状态调用,不出现鹊桥或天链作为主链路。
032,06,动力下降,00:04:14–00:04:22,8,揽月外部固定机位,月面地形在画面下方缓慢移动，推进舱完成主要制动并按推演方案分离，揽月调整为动力下降姿态。,月面相机部署前｜不得使用便携相机第三视角,A｜航天器／宇航服／月面真实任务机位推演,BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-015-航天器任务相机组;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱;BY-VEH-P1-003-揽月推进舱分离状态,BY-VOI-P0-001-杨凛声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动,,阶段1映射完成｜阶段2B按镜头状态调用,任务证据视角；具体分离时机属于艺术推演。
033,06,动力下降,00:04:22–00:04:31,9,高空侧后全景／视觉重建,揽月以发动机轴线指向月面的姿态下降，月面曲率与长阴影建立高度；标注：基于实时遥测的视觉重建。,遥测视觉重建｜角标常驻,C｜显式遥测视觉重建,BY-LGT-P0-004-月面艺术化任务日光;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱;BY-VFX-P1-008-遥测视觉重建合成,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动,BY-SYM-P1-006-视觉重建来源标识,阶段1映射完成｜阶段2B按镜头状态调用,不使用追逐飞船的虚构摄影机运动。
034,06,动力下降,00:04:31–00:04:39,8,飞控轨迹屏,高度、速度、剩余推进剂、落区边界和通信窗口同步变化。,常规任务状态,B｜地面直播／测控任务机位,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-006-北京飞控大厅与任务主屏,BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-005-林海深空测控声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-004-任务轨迹与相位图模板,阶段1映射完成｜阶段2B按镜头状态调用,近月链路以深空地面站接力直达为主。
035,06,动力下降,00:04:39–00:04:54,15,媒体区专家双人／轨迹示意,林知夏与孙亦川站在实时轨迹示意屏前；孙亦川先面向记者，再转向轨迹图。,常规任务状态,B｜地面直播／测控任务机位,BY-CHR-P1-002-林知夏;BY-CHR-P1-005-孙亦川;BY-CST-P1-004-林知夏记者服装;BY-CST-P1-007-孙亦川专家服装;BY-LGT-P1-008-飞控媒体区直播光;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P1-003-飞控中心媒体区,BY-VOI-P1-013-孙亦川声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-004-任务轨迹与相位图模板;BY-SYM-P1-007-直播进口出口与倒计时,阶段1映射完成｜阶段2B按镜头状态调用,专家解释只位于下降早段；允许停顿并把后半句跨接到轨迹图。
036,06,动力下降,00:04:54–00:05:02,8,着陆器下视相机,视场由斜向地形转为近垂直，撞击坑、坡地和岩块区被分区标记。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-PRP-P1-015-航天器任务相机组;BY-REL-P1-007-摄影来源证据层级,BY-VOI-P1-009-小天任务智能体声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动,,阶段1映射完成｜阶段2B按镜头状态调用,AI只提供候选区排序。
037,06,动力下降,00:05:02–00:05:10,8,揽月舱内双人近景,杨凛核对B区，陈砚监控敏感器和着陆后系统。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-002-揽月下降出舱起飞链;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-LGT-P0-002-揽月下降任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-005-揽月构型状态链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-003-揽月登月舱舱内;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-003-发动机舱内结构振动,,阶段1映射完成｜阶段2B按镜头状态调用,最终选择归乘组指令长。
038,06,动力下降,00:05:10–00:05:17,7,中高度三分之四侧视／视觉重建,揽月沿短距离横向走廊避开岩块区，机体姿态变化小而明确；角落保留视觉重建标识。,遥测视觉重建｜角标常驻,C｜显式遥测视觉重建,BY-REL-P0-005-揽月构型状态链;BY-REL-P1-007-摄影来源证据层级;BY-VEH-P0-003-揽月登月舱;BY-VFX-P1-008-遥测视觉重建合成,,BY-REL-P1-003-声音来源真实性,BY-SYM-P1-004-任务轨迹与相位图模板;BY-SYM-P1-006-视觉重建来源标识,阶段1映射完成｜阶段2B按镜头状态调用,第三视角用于解释横移，不承担落地证明。
039,06,动力下降,00:05:17–00:05:24,7,着陆器下视相机,选择区逐渐居中，细避障框缩小到平坦区域；尘埃尚未明显扬起。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-PRP-P1-015-航天器任务相机组;BY-REL-P1-007-摄影来源证据层级;BY-VFX-P0-001-月面下降羽流与贴地月尘,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-009-小天任务智能体声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动,,阶段1映射完成｜阶段2B按镜头状态调用,从此处停止记者和专家插话。
040,06,动力下降,00:05:24–00:05:30,6,北京飞控大厅,各席位凝视参数，飞行主任保持手势等待；大厅没有庆祝动作。,常规任务状态,B｜地面直播／测控任务机位,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-006-北京飞控大厅与任务主屏,BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-008-飞控与测控大厅底噪,,阶段1映射完成｜阶段2B按镜头状态调用,以沉默和设备声建立压力。
041,06,动力下降,00:05:30–00:05:37,7,低空远景／视觉重建,揽月距月面数十米，喷流扩散区和机体尺度清楚；画面稳定克制，标注视觉重建。,遥测视觉重建｜角标常驻,C｜显式遥测视觉重建,BY-LGT-P0-004-月面艺术化任务日光;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱;BY-VFX-P0-001-月面下降羽流与贴地月尘;BY-VFX-P1-008-遥测视觉重建合成,,BY-REL-P1-003-声音来源真实性,BY-SYM-P1-006-视觉重建来源标识,阶段1映射完成｜阶段2B按镜头状态调用,最后一次重建镜头，随后回到证据视角。
042,06,动力下降,00:05:37–00:05:44,7,着陆器下视与着陆腿相机,尘埃向外扩散，落点纹理快速放大，着陆腿接近月面。,月面相机部署前｜不得使用便携相机第三视角,A｜航天器／宇航服／月面真实任务机位推演,BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-015-航天器任务相机组;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-VFX-P0-001-月面下降羽流与贴地月尘,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动,,阶段1映射完成｜阶段2B按镜头状态调用,不可逆节点以任务相机收束。
043,07,着陆确认与六小时出舱准备,00:05:44–00:05:53,9,着陆腿相机／舱内交叉,一条着陆腿接触月面，舱内减速度和接触灯同步出现，画面轻微振动后稳定。,月面相机部署前｜不得使用便携相机第三视角,A｜航天器／宇航服／月面真实任务机位推演,BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-015-航天器任务相机组;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-VFX-P0-002-触月关机与月尘回落,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动,,阶段1映射完成｜阶段2B按镜头状态调用,落地以任务证据视角完成。
044,07,着陆确认与六小时出舱准备,00:05:53–00:06:01,8,揽月舱内双人中景,两名航天员保持约束，依次核对姿态、舱压、电源、通信和着陆器结构状态。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-002-揽月下降出舱起飞链;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-LGT-P0-002-揽月下降任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-005-揽月构型状态链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-003-揽月登月舱舱内;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-001-杨凛声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-003-发动机舱内结构振动,,阶段1映射完成｜阶段2B按镜头状态调用,落地后先检查，不立即解开约束。
045,07,着陆确认与六小时出舱准备,00:06:01–00:06:09,8,北京飞控广角,飞行主任收到系统闭合后宣布结果，大厅鼓掌；少数席位继续工作。,常规任务状态,B｜地面直播／测控任务机位,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-006-北京飞控大厅与任务主屏,BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-008-飞控与测控大厅底噪,,阶段1映射完成｜阶段2B按镜头状态调用,掌声只在北京飞控内部成立。
046,07,着陆确认与六小时出舱准备,00:06:09–00:06:17,8,着陆区完整全景／视觉重建,尘埃沉降后，完整揽月立于月面，地形坡度、足垫和长阴影清晰；标注：基于实时遥测的视觉重建。,遥测视觉重建｜角标常驻,C｜显式遥测视觉重建,BY-LGT-P0-004-月面艺术化任务日光;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱;BY-VFX-P0-001-月面下降羽流与贴地月尘;BY-VFX-P0-002-触月关机与月尘回落;BY-VFX-P1-008-遥测视觉重建合成,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动,BY-SYM-P1-006-视觉重建来源标识,阶段1映射完成｜阶段2B按镜头状态调用,用于交代地形与尺度，不伪装成已部署月面相机。
047,07,着陆确认与六小时出舱准备,00:06:17–00:06:27,10,媒体区直播中景,林知夏面对镜头，身后大屏定格揽月着陆状态。,常规任务状态,B｜地面直播／测控任务机位,BY-CHR-P1-002-林知夏;BY-CST-P1-004-林知夏记者服装;BY-LGT-P1-008-飞控媒体区直播光;BY-REL-P0-005-揽月构型状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P1-003-飞控中心媒体区;BY-VEH-P0-003-揽月登月舱,BY-VOI-P1-002-林知夏声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-007-直播进口出口与倒计时,阶段1映射完成｜阶段2B按镜头状态调用,记者只在落地确认后进入。
048,07,着陆确认与六小时出舱准备,00:06:27–00:06:39,12,媒体区专家双人,何文澜在一张阿波罗11号任务时间轴旁解释，林知夏倾听。,常规任务状态,B｜地面直播／测控任务机位,BY-CHR-P1-002-林知夏;BY-CHR-P1-004-何文澜;BY-CST-P1-004-林知夏记者服装;BY-CST-P1-006-何文澜专家服装;BY-LGT-P1-008-飞控媒体区直播光;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P1-003-飞控中心媒体区,BY-VOI-P1-012-何文澜声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-007-直播进口出口与倒计时,阶段1映射完成｜阶段2B按镜头状态调用,历史时间用约数，避免把艺术流程说成唯一标准。
049,07,着陆确认与六小时出舱准备,00:06:39–00:06:44,5,揽月舱内准备蒙太奇一,两人解除约束、进食补水、完成身体状态自检，并检查舱内生命保障和通信。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-002-揽月下降出舱起飞链;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-LGT-P0-002-揽月下降任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-005-揽月构型状态链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-003-揽月登月舱舱内;BY-VEH-P0-003-揽月登月舱,BY-VOI-P1-012-何文澜声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪,,阶段1映射完成｜阶段2B按镜头状态调用,不是把无人探测器简化为“只需落地自检”。
050,07,着陆确认与六小时出舱准备,00:06:44–00:06:49,5,揽月舱内准备蒙太奇二／字幕,两人检查登月服接口、应急工具、舱门和舱外程序。字幕：着陆 T+06:00；出舱准备完成。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-002-揽月下降出舱起飞链;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱,BY-VOI-P1-012-何文澜声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-003-发动机舱内结构振动,BY-SYM-P1-003-任务阶段与时间跳跃标牌,阶段1映射完成｜阶段2B按镜头状态调用,时间码从着陆瞬间起算。
051,08,出舱与中国航天员首次踏上月面,00:06:49–00:06:59,10,媒体区直播近景,林知夏身后大屏显示揽月舱门状态和五分钟倒计时，媒体区工作人员安静等待。,常规任务状态,B｜地面直播／测控任务机位,BY-CHR-P1-002-林知夏;BY-CST-P1-004-林知夏记者服装;BY-LGT-P1-008-飞控媒体区直播光;BY-REL-P0-005-揽月构型状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P1-003-飞控中心媒体区;BY-VEH-P0-003-揽月登月舱,BY-VOI-P1-002-林知夏声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-007-直播进口出口与倒计时,阶段1映射完成｜阶段2B按镜头状态调用,情绪克制但明确；说完后退出关键动作。
052,08,出舱与中国航天员首次踏上月面,00:06:59–00:07:07,8,飞控／梦舟／揽月三方交叉,北京席位、梦舟刘定槎和揽月两人依次确认通信、生命保障与舱外任务状态。,常规任务状态,B｜地面直播／测控任务机位,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CRO-P1-001-北京飞控任务团队;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-003-飞控大厅任务光;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-008-飞控与测控大厅底噪,,阶段1映射完成｜阶段2B按镜头状态调用,重复确认压缩为三方一次状态闭合。
053,08,出舱与中国航天员首次踏上月面,00:07:07–00:07:15,8,揽月舱内固定机位,杨凛完成泄压与舱门操作，舱口开启到单人通行宽度；陈砚留在舱内保障位置。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-002-揽月下降出舱起飞链;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-002-揽月下降任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-005-揽月构型状态链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-003-揽月登月舱舱内;BY-VEH-P0-003-揽月登月舱,,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-002-登月服内部呼吸与结构声,,阶段1映射完成｜阶段2B按镜头状态调用,舱口不能同时容纳两人。
054,08,出舱与中国航天员首次踏上月面,00:07:15–00:07:24,9,揽月外部固定相机,杨凛背向外部相机缓慢探出舱口，确认扶手、脚踏和安全绳后转移到扶梯。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-002-揽月舷梯与扶手系统;BY-PRP-P1-004-月面工具包与载荷固定系统;BY-PRP-P1-015-航天器任务相机组;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-001-杨凛声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声,,阶段1映射完成｜阶段2B按镜头状态调用,第一名航天员全程由任务相机证明。
055,08,出舱与中国航天员首次踏上月面,00:07:24–00:07:32,8,宇航服相机／扶梯,杨凛向下移动，在最后一级停顿，低头确认足下地形。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-002-揽月舷梯与扶手系统;BY-PRP-P1-014-宇航服任务相机;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区,BY-VOI-P0-001-杨凛声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声,,阶段1映射完成｜阶段2B按镜头状态调用,月面外部没有脚步声。
056,08,出舱与中国航天员首次踏上月面,00:07:32–00:07:42,10,揽月外部固定相机／近全景,杨凛一只脚接触月面，重心缓慢转移，站稳后停顿并抬头。,月面相机部署前｜不得使用便携相机第三视角,A｜航天器／宇航服／月面真实任务机位推演,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-015-航天器任务相机组;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱;BY-VFX-P0-002-触月关机与月尘回落;BY-VFX-P0-003-第一足印月壤形变,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-003-发动机舱内结构振动,,阶段1映射完成｜阶段2B按镜头状态调用,不虚构口号；给身体动作和通信延迟留出完整时间。
057,08,出舱与中国航天员首次踏上月面,00:07:42–00:07:50,8,宇航服相机／月面小范围,杨凛检查足下承载、转身幅度和安全绳活动范围，随后移至舱梯侧方安全位置。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-004-月面工具包与载荷固定系统;BY-PRP-P1-014-宇航服任务相机;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区,BY-VOI-P0-001-杨凛声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声,,阶段1映射完成｜阶段2B按镜头状态调用,专业上先完成安全检查，再允许第二人下梯。
058,08,出舱与中国航天员首次踏上月面,00:07:50–00:07:58,8,揽月外部固定相机,陈砚按同一路径单人出舱并下梯；杨凛在安全距离监护。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-PRP-P1-015-航天器任务相机组;BY-REL-P0-005-揽月构型状态链;BY-REL-P1-007-摄影来源证据层级;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-002-陈砚声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声,,阶段1映射完成｜阶段2B按镜头状态调用,不让两人同时挤在舱口或扶梯。
059,08,出舱与中国航天员首次踏上月面,00:07:58–00:08:04,6,揽月外部固定相机,两人在落脚区相互检查生命保障外观，随后面向相机短暂挥手。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-PRP-P1-015-航天器任务相机组;BY-REL-P0-005-揽月构型状态链;BY-REL-P1-007-摄影来源证据层级;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声,,阶段1映射完成｜阶段2B按镜头状态调用,挥手发生在安全检查之后。
060,08,出舱与中国航天员首次踏上月面,00:08:04–00:08:11,7,宇航服相机／低机位,两人从揽月外部取出折叠三脚架和便携月面相机，在着陆器侧前方安全距离固定并对准揽月与工作区。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-003-便携式月面摄像机;BY-PRP-P1-014-宇航服任务相机;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-006-月面摄像机摄影来源;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-003-发动机舱内结构振动,,阶段1映射完成｜阶段2B按镜头状态调用,从下一场起，第三视角可由这台真实任务相机提供。
061,09,国旗展示与科学任务说明,00:08:11–00:08:17,6,便携月面相机固定全景,两名航天员、完整揽月和工作区同时入画；陈砚在相机前做链路手势，杨凛转向着陆腿。,同一便携月面相机｜机位连续,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P1-001-月面科研时间压缩;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-003-便携式月面摄像机;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-006-月面摄像机摄影来源;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱,BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-003-发动机舱内结构振动,,阶段1映射完成｜阶段2B按镜头状态调用,第一次使用真实部署的第三视角。
