镜号,场次,场名,时间码,景别／机位,画面动作摘要,所需视觉资产ID,所需人物音色ID,同步声音约束ID,后期文字／图形资产ID,资产状态,专业控制
047,7,出舱准备,05:35–05:43,舱外相机固定,外舱门打开，梯子与月面同时进入画面；杨凛先把工具包固定到外平台。,BY-CHR-P0-001-杨凛;BY-CST-P0-004-杨凛望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-005-揽月开舱门月面反射;BY-PRP-P0-002-揽月舷梯与扶手系统;BY-PRP-P0-003-便携式月面摄像机;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱,,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,声学从舱内切到无线电，不给月面空气声。
048,7,出舱准备,05:43–05:50,梯口近景,杨凛转身进入梯子，陈砚在舱门口执行安全绳与生命保障复核。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-005-揽月开舱门月面反射;BY-PRP-P0-002-揽月舷梯与扶手系统;BY-SCN-P0-004-月面着陆与作业区,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,人物动作缓慢、重心受限。
049,8,第一步与国旗,05:50–05:57,梯子侧下方固定,杨凛下降至最后一级，靴底悬在月面上方，停顿一秒确认落脚点。,BY-CHR-P0-001-杨凛;BY-CST-P0-004-杨凛望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-002-揽月舷梯与扶手系统;BY-SCN-P0-004-月面着陆与作业区,,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,舱外环境静音；不制造脚步空气声。
050,8,第一步与国旗,05:57–06:04,靴底特写,靴底压入细颗粒月壤，尘粒沿低重力短暂抛起后落下。,BY-LGT-P0-004-月面艺术化任务日光;BY-SCN-P0-004-月面着陆与作业区;BY-VFX-P0-003-第一足印月壤形变,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,不用虚构历史名言。
051,8,第一步与国旗,06:04–06:12,杨凛中远景,杨凛离开梯脚两步，转身观察着陆器并确认活动半径。,BY-CHR-P0-001-杨凛;BY-CST-P0-004-杨凛望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,首次报告采用工程状态口径。
052,8,第一步与国旗,06:12–06:20,陈砚下梯／双人构图,陈砚下到月面，杨凛在安全距离处引导；两人完成一次简短互检。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-002-揽月舷梯与扶手系统;BY-SCN-P0-004-月面着陆与作业区,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,避免拥抱、跳跃等不专业动作。
053,8,第一步与国旗,06:20–06:27,北京飞控与深空站交叉,飞控屏幕同步两套生命体征与月面视频；佳木斯天线继续跟踪。,BY-CRO-P1-001-北京飞控任务团队;BY-CRO-P1-002-深空测控值班团队;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-006-深空测控站任务光;BY-PRP-P0-003-便携式月面摄像机;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-007-佳木斯66米深空测控站,BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-005-林海深空测控声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,地面系统继续占有叙事位置。
054,8,第一步与国旗,06:27–06:34,月面器材平台近景,两人取出折叠旗杆和旗面组件，按预定顺序展开。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-004-工程化国旗展示装置;BY-SCN-P0-004-月面着陆与作业区;BY-SYM-P0-001-中华人民共和国国旗图形;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,任务组只报操作结果，不作材料科普。
055,8,第一步与国旗,06:34–06:41,国旗中景,五星红旗展开后仅有一次结构回弹，随后静止；着陆器位于远处。,BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-004-工程化国旗展示装置;BY-SCN-P0-004-月面着陆与作业区;BY-SYM-P0-001-中华人民共和国国旗图形;BY-VEH-P0-003-揽月登月舱,,,,V1.2提取已终审；待阶段2B设计与确认可调用,无风摆动；旗面图案必须后期校正。
056,8,第一步与国旗,06:41–06:48,飞控媒体区直播中景,林知夏在媒体区，身后大屏是已经展开的国旗实况。,BY-CHR-P1-002-林知夏;BY-CST-P1-004-林知夏记者服装;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-004-工程化国旗展示装置;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-003-飞控中心媒体区;BY-SYM-P0-001-中华人民共和国国旗图形,BY-VOI-P1-002-林知夏声音,,,V1.2提取已终审；待阶段2B设计与确认可调用,唯一材料科普句；不得追加‘未来月球建设预演’等表述。
057,8,第一步与国旗,06:48–06:55,月面大全景,两名航天员、国旗、揽月与远处地形构成稳定纪实画面，随后切入任务阶段字幕。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-004-工程化国旗展示装置;BY-SCN-P0-004-月面着陆与作业区;BY-SYM-P0-001-中华人民共和国国旗图形;BY-VEH-P0-003-揽月登月舱,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,BY-SYM-P1-003-任务阶段与时间跳跃标牌,V1.2提取已终审；待阶段2B设计与确认可调用,不使用音乐托举。
058,9,月面科学任务,06:55–07:02,时间字幕／延时,字幕：月面驻留第4小时。太阳与阴影位置保持同一任务窗口逻辑，月球车从平台缓慢卸下。,BY-LGT-P0-004-月面艺术化任务日光;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-005-月面后段科考区;BY-VEH-P0-003-揽月登月舱;BY-VEH-P0-004-探索载人月球车;BY-VFX-P1-007-月球车轮迹与低重力扬尘,BY-VOI-P0-002-陈砚声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-007-月球车设备链路结构声,BY-SYM-P1-003-任务阶段与时间跳跃标牌,V1.2提取已终审；待阶段2B设计与确认可调用,跨时段用字幕，不用快进音效。
059,9,月面科学任务,07:02–07:10,低机位跟拍,月球车轮压出清晰轨迹，两名航天员在安全绳与工具约束下前往第一采样点。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-001-月面采样工具;BY-PRP-P1-002-月壤样品容器;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-005-月面后段科考区;BY-SYM-P1-005-样品编号与封签模板;BY-VEH-P0-004-探索载人月球车;BY-VFX-P1-007-月球车轮迹与低重力扬尘,,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-007-月球车设备链路结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,月面外景本体静音，声音来源必须是通信或设备结构传感。
060,9,月面科学任务,07:10–07:17,地质特写,陈砚指向颜色较暗的火山碎屑层，杨凛用标尺与相机记录。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-003-便携式月面摄像机;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-005-月面后段科考区,BY-VOI-P0-002-陈砚声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,不过度断言现场地质结论。
061,9,月面科学任务,07:17–07:25,北京地质席／月面画面分屏,地质席将落区图与头盔相机画面叠合，标出下一条短距离路线。,BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-003-便携式月面摄像机;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-005-月面后段科考区;BY-SCN-P1-010-北京飞控地质席,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-010-北京地质席声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,体现地面科学团队，而非乘组独立完成全部判断。
062,9,月面科学任务,07:25–07:32,采样手部近景,采样铲取样、装袋、扫码、密封，陈砚口述编号。,BY-CHR-P0-002-陈砚;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-001-月面采样工具;BY-PRP-P1-002-月壤样品容器;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-005-月面后段科考区;BY-SYM-P1-005-样品编号与封签模板,BY-VOI-P0-002-陈砚声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,样品链路必须有编号和封装动作。
063,9,月面科学任务,07:32–07:40,梦舟轨道工作位,刘定槎在梦舟用轨道遥感图校核地面路线，并监控下一次通信窗口。,BY-CHR-P0-003-刘定槎;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-005-梦舟环月工作位,BY-VOI-P0-003-刘定槎声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,留守人员有专业工作，不靠观看空座椅叙事。
064,9,月面科学任务,07:40–07:47,仪器布设中景,两人布放小型热流/地震类科学载荷并拍摄安装后状态。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-003-月面科学观测设备;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-005-月面后段科考区,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,具体载荷名称保持泛化，避免虚构最终清单。
065,9,月面科学任务,07:47–07:55,时间字幕／路线图,字幕：月面驻留后段。路线图上已完成点逐个亮起，采样箱容量接近上限。,,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感,BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,以时间窗制造张力，不设计人为险情。
066,9,月面科学任务,07:55–08:02,月球车与样品箱近景,陈砚把最后一袋样品放入主容器，杨凛复核封签和总质量页。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-005-月面后段科考区;BY-VEH-P0-004-探索载人月球车;BY-VFX-P1-007-月球车轮迹与低重力扬尘,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-007-月球车设备链路结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,样品先封闭再回程。
067,9,月面科学任务,08:02–08:10,返程远景,两人驾驶/伴随月球车返回揽月，国旗留在远处不动；轨迹在月壤上形成闭环。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-004-工程化国旗展示装置;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-005-月面后段科考区;BY-SYM-P0-001-中华人民共和国国旗图形;BY-VEH-P0-003-揽月登月舱;BY-VEH-P0-004-探索载人月球车;BY-VFX-P1-007-月球车轮迹与低重力扬尘,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-007-月球车设备链路结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,画面承接离月而不煽情。
068,10,返舱与起飞准备,08:10–08:17,舱外平台固定,主样品容器先被固定到转移架，陈砚复核双重锁止。,BY-CHR-P0-002-陈砚;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-005-密封样品转移容器;BY-PRP-P1-008-主样品容器编号与固定座;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-002-陈砚声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,样品先于人员进入舱内。
069,10,返舱与起飞准备,08:17–08:25,梯口／舱内交叉,杨凛在舱内接应容器，陈砚最后清点外部工具并上梯。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-002-揽月舷梯与扶手系统;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-004-月面着陆与作业区,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,不遗漏人员与物品清点。
070,10,返舱与起飞准备,08:25–08:32,舱门与舱压特写,舱门关闭，复压曲线缓慢上升；两人先保持登月服密闭。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-002-揽月下降任务光;BY-SCN-P0-003-揽月登月舱舱内,BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-002-登月服内部呼吸与结构声,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,AI为状态提示。
071,10,返舱与起飞准备,08:32–08:40,舱内中景,两人按污染控制流程擦拭外层接口，将样品容器锁入独立固定座。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-002-揽月下降任务光;BY-PRP-P0-005-密封样品转移容器;BY-PRP-P1-006-舱内操作界面与任务屏;BY-PRP-P1-008-主样品容器编号与固定座;BY-PRP-P1-009-污染控制用品;BY-SCN-P0-003-揽月登月舱舱内,BY-VOI-P0-002-陈砚声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,不展示随意脱服、扬尘。
072,10,返舱与起飞准备,08:40–08:48,北京飞控／轨道窗口,飞控将月面起飞窗口与梦舟轨道相位叠加，天衡给出最终轨道解。,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-SCN-P0-006-北京飞控大厅与任务主屏,BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-007-天衡测轨声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-008-飞控与测控大厅底噪,,V1.2提取已终审；待阶段2B设计与确认可调用,起飞必须与梦舟相位配合。
073,10,返舱与起飞准备,08:48–08:55,揽月双人近景,两人重新固定约束，杨凛确认上升导航，陈砚确认样品和舱压。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-002-揽月下降任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-003-揽月登月舱舱内,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,不加入倒计时表演。
074,11,月面起飞,08:55–09:01,月面固定任务相机,揽月主发动机点火，尘埃向四周贴地扩散；国旗在安全距离外保持静止。,BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-003-便携式月面摄像机;BY-PRP-P0-004-工程化国旗展示装置;BY-SCN-P0-004-月面着陆与作业区;BY-SYM-P0-001-中华人民共和国国旗图形;BY-VEH-P0-003-揽月登月舱;BY-VEH-P1-004-揽月月面起飞状态;BY-VFX-P0-004-月面起飞羽流与留场余景,BY-VOI-P0-001-杨凛声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,揽月以整体着陆器起飞，不复制阿波罗上升级外形。
075,11,月面起飞,09:01–09:08,远景仰拍,揽月垂直上升后开始俯仰转弯，着陆点迅速缩小。,BY-LGT-P0-004-月面艺术化任务日光;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱;BY-VEH-P1-004-揽月月面起飞状态;BY-VFX-P0-004-月面起飞羽流与留场余景,BY-VOI-P0-002-陈砚声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,旗帜不受空气冲击摆动。
076,11,月面起飞,09:08–09:15,舱内仪表近景,导航速度与高度连续增加，样品容器保持锁定。,BY-LGT-P0-002-揽月下降任务光;BY-PRP-P0-005-密封样品转移容器;BY-PRP-P1-008-主样品容器编号与固定座;BY-SCN-P0-003-揽月登月舱舱内,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,AI只做走廊判断。
077,11,月面起飞,09:15–09:22,深空站与飞控交叉,佳木斯、喀什接力跟踪，飞控显示梦舟和揽月两条轨道逐渐靠近。,BY-CRO-P1-001-北京飞控任务团队;BY-CRO-P1-002-深空测控值班团队;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-006-深空测控站任务光;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-007-佳木斯66米深空测控站;BY-SCN-P1-008-喀什35米深空测控站,BY-VOI-P1-005-林海深空测控声音;BY-VOI-P1-006-叶河深空测控声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-008-飞控与测控大厅底噪,,V1.2提取已终审；待阶段2B设计与确认可调用,体现测控接力。
078,11,月面起飞,09:22–09:29,月轨外景,揽月主发动机关机，器体进入稳定环月轨道并展开交会姿态。,BY-LGT-P1-004-环月轨道太阳光;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P1-004-揽月月面起飞状态,BY-VOI-P0-001-杨凛声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,不在外景添加关机爆响。
079,11,月面起飞,09:29–09:35,梦舟工作位特写,刘定槎的目标列表出现揽月信标，轨道交会倒计时开始。,BY-CHR-P0-003-刘定槎;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-005-梦舟环月工作位,BY-VOI-P0-003-刘定槎声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,把留守人员重新拉回主叙事。
080,12,环月再交会,09:35–09:42,时间字幕／轨道示意,字幕：数小时后，月球轨道。两条轨道经过数次脉冲修正后汇合。,,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感,BY-SYM-P1-003-任务阶段与时间跳跃标牌,V1.2提取已终审；待阶段2B设计与确认可调用,长交会过程用字幕和轨道图压缩。
081,12,环月再交会,09:42–09:50,梦舟工作位中景,刘定槎将器上相对导航与地面轨道解叠加，差值在阈值内。,BY-CHR-P0-003-刘定槎;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-005-梦舟环月工作位,BY-VOI-P0-003-刘定槎声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,留守人员承担交会关键工作。
082,12,环月再交会,09:50–09:57,揽月舱内双人近景,杨凛、陈砚核对样品固定和对接姿态，外部目标灯进入窗口。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-LGT-P0-002-揽月下降任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-003-揽月登月舱舱内,BY-VOI-P0-002-陈砚声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,先保证返航载荷安全。
083,12,环月再交会,09:57–10:05,天衡／北京飞控,VLBI网外测解算作为独立校核，飞控批准下一段。,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-006-深空测控站任务光;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-009-VLBI测轨席,BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-007-天衡测轨声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-008-飞控与测控大厅底噪,,V1.2提取已终审；待阶段2B设计与确认可调用,外测是校核，不替代器上导航。
084,12,环月再交会,10:05–10:13,双器外景,揽月接近梦舟，月球快速从背景掠过；姿控喷流短促。,BY-LGT-P1-004-环月轨道太阳光;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-005-梦舟月轨组合体;BY-VEH-P1-005-揽月月轨再对接状态;BY-VFX-P1-002-环月轨道交会与对接;BY-VFX-P1-004-姿控喷流,BY-VOI-P0-003-刘定槎声音,BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,外景静音。
085,12,环月再交会,10:13–10:21,梦舟对接监视器,目标十字线进入中心，闭合速度降到极低；小天标出偏差趋势。,BY-LGT-P1-004-环月轨道太阳光;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-005-梦舟月轨组合体;BY-VEH-P1-005-揽月月轨再对接状态;BY-VFX-P1-002-环月轨道交会与对接,BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,AI建议需由人确认。
086,12,环月再交会,10:21–10:29,双舱交叉近景,杨凛和刘定槎各自在控制位完成最终确认。,BY-CHR-P0-001-杨凛;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-003-刘定槎声音,BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,简短对话建立三人重聚前的任务张力。
087,12,环月再交会,10:29–10:37,对接口特写,两器接触、捕获、缓冲和拉紧，状态灯逐项转绿。,BY-LGT-P1-004-环月轨道太阳光;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-005-梦舟月轨组合体;BY-VEH-P1-005-揽月月轨再对接状态;BY-VFX-P1-002-环月轨道交会与对接,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-003-刘定槎声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导,,V1.2提取已终审；待阶段2B设计与确认可调用,不把接触瞬间等同开舱。
088,12,环月再交会,10:37–10:45,北京飞控广角,飞控完成密封、姿态和轨道状态复核，所有项目闭合。,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-SCN-P0-006-北京飞控大厅与任务主屏,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-008-飞控与测控大厅底噪,,V1.2提取已终审；待阶段2B设计与确认可调用,对接闭环由地面系统确认。
089,13,三人重聚与揽月处置,10:45–10:52,通道轴向固定,压差归零后舱门开启，主样品容器沿固定转移架率先进入梦舟。,BY-PRP-P0-005-密封样品转移容器;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-PRP-P1-008-主样品容器编号与固定座;BY-SCN-P0-002-梦舟对接通道与舱门区,BY-VOI-P0-002-陈砚声音;BY-VOI-P0-003-刘定槎声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导,,V1.2提取已终审；待阶段2B设计与确认可调用,样品先于人员，流程可核验。
